,slice_file_name,fsID,start,end,salience,fold,classID,class
0,100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing
1,100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing
2,100263-2-0-126.wav,100263,63.0,67.0,1,5,2,children_playing
3,100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing
4,100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing
5,100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing
6,100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing
7,100263-2-0-36.wav,100263,18.0,22.0,1,5,2,children_playing
8,100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark
9,100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark
10,100652-3-0-2.wav,100652,1.0,5.0,1,2,3,dog_bark
11,100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark
12,100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark
13,100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark
14,100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark
15,100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark
16,100852-0-0-0.wav,100852,0.0,4.0,1,5,0,air_conditioner
17,100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
18,100852-0-0-10.wav,100852,5.0,9.0,1,5,0,air_conditioner
19,100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
20,100852-0-0-12.wav,100852,6.0,10.0,1,5,0,air_conditioner
21,100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
22,100852-0-0-14.wav,100852,7.0,11.0,1,5,0,air_conditioner
23,100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
24,100852-0-0-16.wav,100852,8.0,12.0,1,5,0,air_conditioner
25,100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
26,100852-0-0-18.wav,100852,9.0,13.0,1,5,0,air_conditioner
27,100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
28,100852-0-0-2.wav,100852,1.0,5.0,1,5,0,air_conditioner
29,100852-0-0-20.wav,100852,10.0,14.0,1,5,0,air_conditioner
30,100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
31,100852-0-0-22.wav,100852,11.0,15.0,1,5,0,air_conditioner
32,100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
33,100852-0-0-24.wav,100852,12.0,16.0,1,5,0,air_conditioner
34,100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
35,100852-0-0-26.wav,100852,13.0,17.0,1,5,0,air_conditioner
36,100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
37,100852-0-0-28.wav,100852,14.0,18.0,1,5,0,air_conditioner
38,100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
39,100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
40,100852-0-0-30.wav,100852,15.0,19.0,1,5,0,air_conditioner
41,100852-0-0-4.wav,100852,2.0,6.0,1,5,0,air_conditioner
42,100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
43,100852-0-0-6.wav,100852,3.0,7.0,1,5,0,air_conditioner
44,100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
45,100852-0-0-8.wav,100852,4.0,8.0,1,5,0,air_conditioner
46,100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
47,101281-3-0-0.wav,101281,0.341333,4.341333,2,6,3,dog_bark
48,101281-3-0-14.wav,101281,7.341333,11.341333,2,6,3,dog_bark
49,101281-3-0-5.wav,101281,2.841333,6.8413330000000006,2,6,3,dog_bark
50,101382-2-0-10.wav,101382,5.0,9.0,1,10,2,children_playing
51,101382-2-0-12.wav,101382,6.0,10.0,1,10,2,children_playing
52,101382-2-0-20.wav,101382,10.0,14.0,1,10,2,children_playing
53,101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing
54,101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing
55,101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing
56,101382-2-0-42.wav,101382,21.0,25.0,1,10,2,children_playing
57,101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing
58,101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark
59,101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
60,101415-3-0-8.wav,101415,4.0,8.0,1,1,3,dog_bark
61,101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner
62,101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner
63,101729-0-0-12.wav,101729,6.0,10.0,2,9,0,air_conditioner
64,101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner
65,101729-0-0-14.wav,101729,7.0,11.0,2,9,0,air_conditioner
66,101729-0-0-16.wav,101729,8.0,12.0,2,9,0,air_conditioner
67,101729-0-0-17.wav,101729,8.5,12.5,2,9,0,air_conditioner
68,101729-0-0-18.wav,101729,9.0,13.0,2,9,0,air_conditioner
69,101729-0-0-19.wav,101729,9.5,13.5,2,9,0,air_conditioner
70,101729-0-0-21.wav,101729,10.5,14.5,2,9,0,air_conditioner
71,101729-0-0-22.wav,101729,11.0,15.0,2,9,0,air_conditioner
72,101729-0-0-23.wav,101729,11.5,15.5,2,9,0,air_conditioner
73,101729-0-0-24.wav,101729,12.0,16.0,2,9,0,air_conditioner
74,101729-0-0-26.wav,101729,13.0,17.0,2,9,0,air_conditioner
75,101729-0-0-28.wav,101729,14.0,18.0,2,9,0,air_conditioner
76,101729-0-0-29.wav,101729,14.5,18.5,2,9,0,air_conditioner
77,101729-0-0-3.wav,101729,1.5,5.5,2,9,0,air_conditioner
78,101729-0-0-32.wav,101729,16.0,20.0,2,9,0,air_conditioner
79,101729-0-0-33.wav,101729,16.5,20.5,2,9,0,air_conditioner
80,101729-0-0-36.wav,101729,18.0,22.0,2,9,0,air_conditioner
81,101729-0-0-37.wav,101729,18.5,22.5,2,9,0,air_conditioner
82,101729-0-0-38.wav,101729,19.0,23.0,2,9,0,air_conditioner
83,101729-0-0-39.wav,101729,19.5,23.5,2,9,0,air_conditioner
84,101729-0-0-4.wav,101729,2.0,6.0,2,9,0,air_conditioner
85,101729-0-0-40.wav,101729,20.0,24.0,2,9,0,air_conditioner
86,101729-0-0-6.wav,101729,3.0,7.0,2,9,0,air_conditioner
87,101729-0-0-9.wav,101729,4.5,8.5,2,9,0,air_conditioner
88,101848-9-0-0.wav,101848,0.0,4.0,1,7,9,street_music
89,101848-9-0-1.wav,101848,0.5,4.5,1,7,9,street_music
90,101848-9-0-2.wav,101848,1.0,5.0,1,7,9,street_music
91,101848-9-0-3.wav,101848,1.5,5.5,1,7,9,street_music
92,101848-9-0-8.wav,101848,4.0,8.0,1,7,9,street_music
93,101848-9-0-9.wav,101848,4.5,8.5,1,7,9,street_music
94,102102-3-0-0.wav,102102,1.573952,4.673824,2,4,3,dog_bark
95,102105-3-0-0.wav,102105,2.041889,6.041888999999999,2,3,3,dog_bark
96,102305-6-0-0.wav,102305,0.0,2.61161,1,1,6,gun_shot
97,102547-3-0-2.wav,102547,1.0,5.0,1,5,3,dog_bark
98,102547-3-0-7.wav,102547,3.5,7.5,1,5,3,dog_bark
99,102547-3-0-8.wav,102547,4.0,8.0,1,5,3,dog_bark
100,102842-3-0-1.wav,102842,0.5,4.5,2,1,3,dog_bark
101,102842-3-1-0.wav,102842,113.061785,117.061785,2,1,3,dog_bark
102,102842-3-1-5.wav,102842,115.561785,119.561785,2,1,3,dog_bark
103,102842-3-1-6.wav,102842,116.061785,120.061785,2,1,3,dog_bark
104,102853-8-0-0.wav,102853,0.0,4.0,2,7,8,siren
105,102853-8-0-1.wav,102853,0.5,4.5,2,7,8,siren
106,102853-8-0-2.wav,102853,1.0,5.0,2,7,8,siren
107,102853-8-0-3.wav,102853,1.5,5.5,2,7,8,siren
108,102853-8-0-4.wav,102853,2.0,6.0,2,7,8,siren
109,102853-8-0-5.wav,102853,2.5,6.5,2,7,8,siren
110,102853-8-0-6.wav,102853,3.0,7.0,2,7,8,siren
111,102853-8-1-0.wav,102853,27.214044,31.214044,2,7,8,siren
112,102857-5-0-0.wav,102857,0.0,4.0,1,10,5,engine_idling
113,102857-5-0-1.wav,102857,0.5,4.5,1,10,5,engine_idling
114,102857-5-0-10.wav,102857,5.0,9.0,1,10,5,engine_idling
115,102857-5-0-11.wav,102857,5.5,9.5,1,10,5,engine_idling
116,102857-5-0-12.wav,102857,6.0,10.0,1,10,5,engine_idling
