file_path,class_name,class_id,fold
Audio_dataset/Train/asare/asare_train_794.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_795.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_796.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_797.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_798.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_799.wav,asare,6,10
Audio_dataset/Train/asare/asare_train_800.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_801.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_802.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_803.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_804.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_805.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_806.wav,asare,6,6
Audio_dataset/Train/asare/asare_train_807.wav,asare,6,10
Audio_dataset/Train/asare/asare_train_808.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_809.wav,asare,6,6
Audio_dataset/Train/asare/asare_train_810.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_012.wav,asare,6,2
Audio_dataset/Train/asare/asare_train_013.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_014.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_015.wav,asare,6,2
Audio_dataset/Train/asare/asare_train_016.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_017.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_018.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_019.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_020.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_021.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_022.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_023.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_024.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_025.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_026.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_027.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_029.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_030.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_031.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_032.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_033.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_034.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_035.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_036.wav,asare,6,1
Audio_dataset/Train/asare/asare_train_037.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_038.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_039.wav,asare,6,2
Audio_dataset/Train/asare/asare_train_040.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_041.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_042.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_043.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_044.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_063.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_064.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_065.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_066.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_067.wav,asare,6,9
Audio_dataset/Train/asare/asare_train_068.wav,asare,6,4
Audio_dataset/Train/asare/asare_train_069.wav,asare,6,6
Audio_dataset/Train/asare/asare_train_070.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_071.wav,asare,6,2
Audio_dataset/Train/asare/asare_train_072.wav,asare,6,7
Audio_dataset/Train/asare/asare_train_073.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_074.wav,asare,6,5
Audio_dataset/Train/asare/asare_train_075.wav,asare,6,8
Audio_dataset/Train/asare/asare_train_076.wav,asare,6,2
Audio_dataset/Train/asare/asare_train_077.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_078.wav,asare,6,10
Audio_dataset/Train/asare/asare_train_385.wav,asare,6,3
Audio_dataset/Train/asare/asare_train_402.wav,asare,6,4
